agreement	disagreement	number	subject_index	verb_index	completed
De dokter ziet dat de vader huilt	De dokter ziet dat de vader huilen	singular	5	6	De dokter ziet dat de vader huilt .
De dokter ziet dat de vader luistert	De dokter ziet dat de vader luisteren	singular	5	6	De dokter ziet dat de vader luistert .
De dokter ziet dat de vader loopt	De dokter ziet dat de vader lopen	singular	5	6	De dokter ziet dat de vader loopt .
De dokter ziet dat de vader rent	De dokter ziet dat de vader rennen	singular	5	6	De dokter ziet dat de vader rent .
De dokter ziet dat de vader slaapt	De dokter ziet dat de vader slapen	singular	5	6	De dokter ziet dat de vader slaapt .
De dokter ziet dat de vader schreeuwt	De dokter ziet dat de vader schreeuwen	singular	5	6	De dokter ziet dat de vader schreeuwt .
De dokter ziet dat de moeder huilt	De dokter ziet dat de moeder huilen	singular	5	6	De dokter ziet dat de moeder huilt .
De dokter ziet dat de moeder luistert	De dokter ziet dat de moeder luisteren	singular	5	6	De dokter ziet dat de moeder luistert .
De dokter ziet dat de moeder loopt	De dokter ziet dat de moeder lopen	singular	5	6	De dokter ziet dat de moeder loopt .
De dokter ziet dat de moeder rent	De dokter ziet dat de moeder rennen	singular	5	6	De dokter ziet dat de moeder rent .
De dokter ziet dat de moeder slaapt	De dokter ziet dat de moeder slapen	singular	5	6	De dokter ziet dat de moeder slaapt .
De dokter ziet dat de moeder schreeuwt	De dokter ziet dat de moeder schreeuwen	singular	5	6	De dokter ziet dat de moeder schreeuwt .
De dokter ziet dat het kind huilt	De dokter ziet dat het kind huilen	singular	5	6	De dokter ziet dat het kind huilt .
De dokter ziet dat het kind luistert	De dokter ziet dat het kind luisteren	singular	5	6	De dokter ziet dat het kind luistert .
De dokter ziet dat het kind loopt	De dokter ziet dat het kind lopen	singular	5	6	De dokter ziet dat het kind loopt .
De dokter ziet dat het kind rent	De dokter ziet dat het kind rennen	singular	5	6	De dokter ziet dat het kind rent .
De dokter ziet dat het kind slaapt	De dokter ziet dat het kind slapen	singular	5	6	De dokter ziet dat het kind slaapt .
De dokter ziet dat het kind schreeuwt	De dokter ziet dat het kind schreeuwen	singular	5	6	De dokter ziet dat het kind schreeuwt .
