agreement	disagreement	number	subject_index	verb_index	completed
De atleet schreeuwt en het meisje observeert	De atleet schreeuwt en het meisje observeren	singular	5	6	De atleet schreeuwt en het meisje observeert de persoon.
De atleet schreeuwt en het meisje verwart	De atleet schreeuwt en het meisje verwarren	singular	5	6	De atleet schreeuwt en het meisje verwart de persoon.
De atleet schreeuwt en het meisje inspireert	De atleet schreeuwt en het meisje inspireren	singular	5	6	De atleet schreeuwt en het meisje inspireert de persoon.
De atleet schreeuwt en het meisje bemoedigt	De atleet schreeuwt en het meisje bemoedigen	singular	5	6	De atleet schreeuwt en het meisje bemoedigt de persoon.
De atleet schreeuwt en het meisje ontmoedigt	De atleet schreeuwt en het meisje ontmoedigen	singular	5	6	De atleet schreeuwt en het meisje ontmoedigt de persoon.
De atleet schreeuwt en het meisje bewondert	De atleet schreeuwt en het meisje bewonderen	singular	5	6	De atleet schreeuwt en het meisje bewondert de persoon.
De atleet schreeuwt en de jongen observeert	De atleet schreeuwt en de jongen observeren	singular	5	6	De atleet schreeuwt en de jongen observeert de persoon.
De atleet schreeuwt en de jongen verwart	De atleet schreeuwt en de jongen verwarren	singular	5	6	De atleet schreeuwt en de jongen verwart de persoon.
De atleet schreeuwt en de jongen inspireert	De atleet schreeuwt en de jongen inspireren	singular	5	6	De atleet schreeuwt en de jongen inspireert de persoon.
De atleet schreeuwt en de jongen bemoedigt	De atleet schreeuwt en de jongen bemoedigen	singular	5	6	De atleet schreeuwt en de jongen bemoedigt de persoon.
De atleet schreeuwt en de jongen ontmoedigt	De atleet schreeuwt en de jongen ontmoedigen	singular	5	6	De atleet schreeuwt en de jongen ontmoedigt de persoon.
De atleet schreeuwt en de jongen bewondert	De atleet schreeuwt en de jongen bewonderen	singular	5	6	De atleet schreeuwt en de jongen bewondert de persoon.
De atleet schreeuwt en de vader observeert	De atleet schreeuwt en de vader observeren	singular	5	6	De atleet schreeuwt en de vader observeert de persoon.
De atleet schreeuwt en de vader verwart	De atleet schreeuwt en de vader verwarren	singular	5	6	De atleet schreeuwt en de vader verwart de persoon.
De atleet schreeuwt en de vader inspireert	De atleet schreeuwt en de vader inspireren	singular	5	6	De atleet schreeuwt en de vader inspireert de persoon.
De atleet schreeuwt en de vader bemoedigt	De atleet schreeuwt en de vader bemoedigen	singular	5	6	De atleet schreeuwt en de vader bemoedigt de persoon.
De atleet schreeuwt en de vader ontmoedigt	De atleet schreeuwt en de vader ontmoedigen	singular	5	6	De atleet schreeuwt en de vader ontmoedigt de persoon.
De atleet schreeuwt en de vader bewondert	De atleet schreeuwt en de vader bewonderen	singular	5	6	De atleet schreeuwt en de vader bewondert de persoon.
De atleet schreeuwt en de man observeert	De atleet schreeuwt en de man observeren	singular	5	6	De atleet schreeuwt en de man observeert de persoon.
De atleet schreeuwt en de man verwart	De atleet schreeuwt en de man verwarren	singular	5	6	De atleet schreeuwt en de man verwart de persoon.
De atleet schreeuwt en de man inspireert	De atleet schreeuwt en de man inspireren	singular	5	6	De atleet schreeuwt en de man inspireert de persoon.
De atleet schreeuwt en de man bemoedigt	De atleet schreeuwt en de man bemoedigen	singular	5	6	De atleet schreeuwt en de man bemoedigt de persoon.
De atleet schreeuwt en de man ontmoedigt	De atleet schreeuwt en de man ontmoedigen	singular	5	6	De atleet schreeuwt en de man ontmoedigt de persoon.
De atleet schreeuwt en de man bewondert	De atleet schreeuwt en de man bewonderen	singular	5	6	De atleet schreeuwt en de man bewondert de persoon.
De atleet schreeuwt en de vrouw observeert	De atleet schreeuwt en de vrouw observeren	singular	5	6	De atleet schreeuwt en de vrouw observeert de persoon.
De atleet schreeuwt en de vrouw verwart	De atleet schreeuwt en de vrouw verwarren	singular	5	6	De atleet schreeuwt en de vrouw verwart de persoon.
De atleet schreeuwt en de vrouw inspireert	De atleet schreeuwt en de vrouw inspireren	singular	5	6	De atleet schreeuwt en de vrouw inspireert de persoon.
De atleet schreeuwt en de vrouw bemoedigt	De atleet schreeuwt en de vrouw bemoedigen	singular	5	6	De atleet schreeuwt en de vrouw bemoedigt de persoon.
De atleet schreeuwt en de vrouw ontmoedigt	De atleet schreeuwt en de vrouw ontmoedigen	singular	5	6	De atleet schreeuwt en de vrouw ontmoedigt de persoon.
De atleet schreeuwt en de vrouw bewondert	De atleet schreeuwt en de vrouw bewonderen	singular	5	6	De atleet schreeuwt en de vrouw bewondert de persoon.
De atleet schreeuwt en de boer observeert	De atleet schreeuwt en de boer observeren	singular	5	6	De atleet schreeuwt en de boer observeert de persoon.
De atleet schreeuwt en de boer verwart	De atleet schreeuwt en de boer verwarren	singular	5	6	De atleet schreeuwt en de boer verwart de persoon.
De atleet schreeuwt en de boer inspireert	De atleet schreeuwt en de boer inspireren	singular	5	6	De atleet schreeuwt en de boer inspireert de persoon.
De atleet schreeuwt en de boer bemoedigt	De atleet schreeuwt en de boer bemoedigen	singular	5	6	De atleet schreeuwt en de boer bemoedigt de persoon.
De atleet schreeuwt en de boer ontmoedigt	De atleet schreeuwt en de boer ontmoedigen	singular	5	6	De atleet schreeuwt en de boer ontmoedigt de persoon.
De atleet schreeuwt en de boer bewondert	De atleet schreeuwt en de boer bewonderen	singular	5	6	De atleet schreeuwt en de boer bewondert de persoon.
De atleet schreeuwt en de atleten observeren	De atleet schreeuwt en de atleten observeert	plural	5	6	De atleet schreeuwt en de atleten observeren de persoon.
